name,province,ingredients,description,image_path
ต้มยำกุ้ง,กรุงเทพฯ,"กุ้งสด, ตะไคร้, ใบมะกรูด, เห็ดฟาง, น้ำปลา, น้ำมะนาว","อาหารไทยรสจัดจ้าน เปรี้ยว เค็ม เผ็ด เป็นที่รู้จักทั่วโลก",""
ข้าวซอย,เชียงใหม่,"เส้นข้าวซอย, กะทิ, เนื้อไก่, เครื่องแกงข้าวซอย, หอมแดง, ผักกาดดอง","อาหารเหนือรสเข้มข้น หอมเครื่องแกงกะทิ นิยมรับประทานกับเส้นทอดกรอบ",""
แกงไตปลา,สงขลา,"ไตปลา, พริกแกง, ผักรวม, เนื้อปลา, ใบมะกรูด","อาหารใต้รสเผ็ดจัดจ้าน นิยมกินกับข้าวสวยหรือขนมจีน",""
หมี่โคราช,นครราชสีมา,"เส้นหมี่, น้ำพริกหมี่โคราช, ถั่วงอก, เนื้อหมู, น้ำมะขามเปียก","อาหารพื้นถิ่นรสเปรี้ยวหวานคล้ายผัดไทย แต่มีเอกลักษณ์เฉพาะของโคราช",""
น้ำพริกหนุ่ม,เชียงราย,"พริกหนุ่ม, กระเทียม, หอมแดง, ปลาร้า, เกลือ","น้ำพริกยอดนิยมของภาคเหนือ กินกับแคบหมูหรือผักต้ม",""
แกงฮังเล,เชียงใหม่,"หมูสามชั้น, พริกแกงฮังเล, กระเทียม, ขิง, น้ำมะขามเปียก","อาหารเหนือรสเปรี้ยว เค็ม หอมเครื่องแกงแบบพม่า",""
แกงส้มชะอมกุ้ง,ระยอง,"กุ้ง, ชะอม, ไข่, น้ำมะขามเปียก, พริกแกงส้ม","อาหารภาคกลางรสเปรี้ยว เค็ม เผ็ด นิยมกินกับข้าวสวย",""
หลนปูเค็ม,เพชรบุรี,"ปูเค็ม, กะทิ, หอมแดง, พริกขี้หนู, น้ำปลา","อาหารไทยภาคกลางรสเค็มมัน หอมกะทิ รับประทานกับผักสด",""
หมูย่างเมืองตรัง,ตรัง,"หมูทั้งตัว, น้ำผึ้ง, เครื่องเทศ, น้ำปลา, กระเทียม","อาหารใต้ชื่อดัง หมูหนังกรอบนอกนุ่มใน หอมหวานจากน้ำผึ้ง",""
ข้าวแช่,ราชบุรี,"ข้าวหุง, น้ำอบ, ลูกกะปิ, หมูฝอย, พริกหยวกสอดไส้","อาหารชาววังรับประทานเย็น สดชื่น เหมาะกับหน้าร้อน",""
